,MSA,MSADSCR,NAICS3_x,case_violtn_cnt,cmp_assd_cnt,ee_violtd_cnt,ee_atp_cnt,MinWage_Cases,MinWage_ATPAmt,MinWage_EmpAff,ChildLabor_Cases,ChildLabor_ATPAmt,ChildLabor_EmpAff,BMW_Cases,BMW_ATPAmt,BMW_EmpAff,All_AtpAmt,Other_Cases,Other_ATPAmt,Other_EmpAff,ESTB,EMPL_N,PAYR_N,NAICS3,NAICS3Desc
356,39820.0,"Redding, CA Metro Area",713,876,0.0,511,511,876,104575.42,511,0,0.0,0,0,0.0,0,313726.26,0,209150.84,0,46.0,0.0,0.0,713,"Amusement, Gambling, and Recreation Industries"
357,39820.0,"Redding, CA Metro Area",721,6789,0.0,4964,4964,6789,8335069.19,4964,0,0.0,0,0,0.0,0,15927567.78,0,7592498.59,0,60.0,669.0,15236.0,721,Accommodation
358,39820.0,"Redding, CA Metro Area",722,32777,2022027.0,10731,9198,13140,5029731.39,9198,1460,1462336.0,1095,0,0.0,0,12845256.66,18177,9264483.29,438,319.0,4950.0,69645.0,722,Food Services and Drinking Places
359,39820.0,"Redding, CA Metro Area",811,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,164.0,715.0,25027.0,811,Repair and Maintenance
360,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",091,5950,0.0,5355,5355,5950,4200581.0,5355,0,0.0,0,0,0.0,0,12543156.75,0,8342575.75,0,,,,,
361,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",092,170,0.0,85,85,170,530167.95,85,0,0.0,0,0,0.0,0,1590503.85,0,1060335.9,0,,,,,
362,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",093,85,0.0,170,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,85,0.0,170,,,,,
363,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",096,6800,235620.0,6035,1615,6715,2422421.8,1615,0,0.0,0,0,0.0,0,7267265.4,85,4844843.6,4420,,,,,
364,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",097,3485,0.0,3315,3315,3485,9717492.4,3315,0,0.0,0,0,0.0,0,29152477.2,0,19434984.8,0,,,,,
365,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",098,2465,0.0,2380,85,2465,372141.05,85,0,0.0,0,0,0.0,0,1116423.15,0,744282.1,2295,,,,,
366,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",111,90270,16237656.25,65025,50830,20570,14681333.45,6545,0,0.0,0,0,0.0,0,29623696.8,69700,14942363.35,58480,,,,,
367,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",112,1530,0.0,1445,1445,1530,2043734.05,1445,0,0.0,0,0,0.0,0,6131202.15,0,4087468.1,0,,,,,
368,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",113,9945,0.0,7395,7395,7395,7986520.1,7395,0,0.0,0,0,0.0,0,23959560.3,2550,15973040.2,0,5.0,0.0,2451.0,113,Forestry and Logging
369,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",115,55590,11910625.0,26690,26605,2805,24108.55,255,170,116875.0,85,0,0.0,0,9728397.05,52615,9821163.5,26350,74.0,817.0,20451.0,115,Support Activities for Agriculture and Forestry
370,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",211,4505,0.0,4420,0,4505,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,4420,1.0,0.0,0.0,211,Oil and Gas Extraction
371,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",212,17255,0.0,17000,16830,17000,16272169.65,16830,0,0.0,0,0,0.0,0,48816508.95,255,32544339.3,170,41.0,1277.0,91700.0,212,Mining (except Oil and Gas)
372,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",221,3570,0.0,2805,2805,1530,4828139.4,1190,0,0.0,0,0,0.0,0,18837196.8,2040,14009057.4,1615,156.0,5830.0,493980.0,221,Utilities
373,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",236,125800,1234200.0,112200,58225,101830,69056385.95,45730,0,0.0,0,0,0.0,0,233890627.4,23970,164834241.45,66470,1745.0,10733.0,514141.0,236,Construction of Buildings
374,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",237,105910,0.0,92735,91035,89420,79306342.15,82025,170,0.0,85,0,0.0,0,256070889.5,16320,176764547.35,10625,426.0,9976.0,691021.0,237,Heavy and Civil Engineering Construction
